pool corporation	58b63459-73a0-f119-edea-a229c10bb8ec	US340778636	Ameracover Pool Enclosures, Inc.	3573c9c463870c24a1c72611dea78d5f		202831				Jamestown	CA	US	37.9533	-120.423
safety vision	b9dcdba9-66b3-6961-d460-6722eea8aee0	GBSC002934	Safety Shot Limited Partnership	33d4c21b926492b3eb460b02564ef17d		145839				Memphis	TN	US	35.1495	-90.049
safety technology holdings	7e3bd125-71a9-0d4d-49cc-1f7aa835bcb4		Safety Shot Limited Partnership	33d4c21b926492b3eb460b02564ef17d		341861				Memphis	TN	US	35.1495	-90.049
pool corporation	58bf2ec8-a615-b51f-30bf-0d028b5e426a		Ameracover Pool Enclosures, Inc.	3573c9c463870c24a1c72611dea78d5f		107177				Jamestown	CA	US	37.9533	-120.423
safety technology holdings	7e737245-b8a4-8424-6a70-54abedafd4c0	US*920491926	Safety Shot Limited Partnership	33d4c21b926492b3eb460b02564ef17d		156116				Memphis	TN	US	35.1495	-90.049
safety vision	b9e546b3-02d8-cc75-853b-bd83f8be97a7	GB06211318	Safety Shot Limited Partnership	33d4c21b926492b3eb460b02564ef17d		260738				Memphis	TN	US	35.1495	-90.049
pool corporation	58bf2ec8-a615-b51f-30bf-0d028b5e426a		Ameracover Pool Enclosures, Inc.	3573c9c463870c24a1c72611dea78d5f		107177				Jamestown	CA	US	37.9533	-120.423
safety technology holdings	7e737245-b8a4-8424-6a70-54abedafd4c0	US*920491926	Safety Shot Limited Partnership	33d4c21b926492b3eb460b02564ef17d		156116				Memphis	TN	US	35.1495	-90.049
safety vision	b9e546b3-02d8-cc75-853b-bd83f8be97a7	GB06211318	Safety Shot Limited Partnership	33d4c21b926492b3eb460b02564ef17d		260738				Memphis	TN	US	35.1495	-90.049
pool corporation	58bf2ec8-a615-b51f-30bf-0d028b5e426a		Ameracover Pool Enclosures, Inc.	3573c9c463870c24a1c72611dea78d5f		107177				Jamestown	CA	US	37.9533	-120.423
safety technology holdings	7e737245-b8a4-8424-6a70-54abedafd4c0	US*920491926	Safety Shot Limited Partnership	33d4c21b926492b3eb460b02564ef17d		156116				Memphis	TN	US	35.1495	-90.049
safety vision	b9e546b3-02d8-cc75-853b-bd83f8be97a7	GB06211318	Safety Shot Limited Partnership	33d4c21b926492b3eb460b02564ef17d		260738				Memphis	TN	US	35.1495	-90.049
pool corporation	58bf2ec8-a615-b51f-30bf-0d028b5e426a		Ameracover Pool Enclosures, Inc.	3573c9c463870c24a1c72611dea78d5f		107177				Jamestown	CA	US	37.9533	-120.423
safety technology holdings	7e737245-b8a4-8424-6a70-54abedafd4c0	US*920491926	Safety Shot Limited Partnership	33d4c21b926492b3eb460b02564ef17d		156116				Memphis	TN	US	35.1495	-90.049
safety vision	b9e546b3-02d8-cc75-853b-bd83f8be97a7	GB06211318	Safety Shot Limited Partnership	33d4c21b926492b3eb460b02564ef17d		260738				Memphis	TN	US	35.1495	-90.049
